fg,fga,fg_percent,x3p,x3pa,x3p_percent,x2p,x2pa,x2p_percent,e_fg_percent,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,season,player,pos,tm
0.8,0.8,0.6,0.0,0.0,0.0,0.6,0.7,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,2023,Carlik Jones,PG,CHI
68.4,180.5,0.2844,46.15,129.35,0.2856,40.0,64.8,0.33935000000000004,0.286,25.0,40.7,6.3,49.5,56.5,29.200000000000003,17.5,2.75,26.599999999999998,53.95,324.09999999999997,2023,Cedi Osman,SF,CLE
32.9,28.0,0.6039000000000001,0.6,1.7999999999999998,0.1665,36.0,51.2,0.5624,0.4116,11.2,19.200000000000003,35.2,64.8,100.0,11.600000000000001,4.8,17.6,22.400000000000002,40.0,78.39999999999999,2023,Charles Bassey,C,SAS
0.4,1.0,0.3,0.0,0.0,0.0,0.4,0.8,0.275,0.25,0.0,1.1,0.9,0.0,1.0,0.4,0.0,0.0,1.4,1.3,1.4,2023,Chima Moneke,SF,SAC
51.8,50.800000000000004,0.5246999999999999,1.5,7.199999999999999,0.104,55.2,82.4,0.536,0.36119999999999997,17.5,24.8,21.6,67.2,88.80000000000001,9.600000000000001,6.6,5.6000000000000005,16.8,38.400000000000006,124.6,2023,Chimezie Metu,C,SAC
91.2,161.5,0.35324999999999995,18.0,58.0,0.2015,69.6,124.19999999999999,0.36400000000000005,0.263,46.0,74.39999999999999,60.0,104.65,169.65,8.4,19.2,22.1,15.75,62.3,302.4,2023,Chris Boucher,PF,TOR
32.800000000000004,113.5,0.2166,23.400000000000002,78.0,0.24,18.400000000000002,42.800000000000004,0.23650000000000002,0.2205,25.0,32.45,4.5,32.5,37.5,19.6,9.799999999999999,4.4,18.9,29.25,175.0,2023,Chris Duarte,SF,IND
123.2,273.6,0.27,37.050000000000004,89.7,0.3304,58.199999999999996,142.79999999999998,0.2375,0.267,66.4,75.0,5.2,67.65,74.80000000000001,215.20000000000002,34.4,6.0,44.099999999999994,47.45,336.0,2023,Chris Paul,PG,PHO
34.0,101.5,0.2814,12.0,35.25,0.272,20.8,49.0,0.2655,0.262,8.0,14.850000000000001,11.600000000000001,32.5,47.0,13.0,9.799999999999999,5.0,15.200000000000001,32.5,117.6,2023,Christian Braun,SG,DEN
41.3,47.6,0.4464,0.3,2.6999999999999997,0.0555,46.400000000000006,88.0,0.42160000000000003,0.3,24.5,42.400000000000006,53.6,55.2,108.80000000000001,8.0,6.0,36.0,14.4,84.0,107.8,2023,Christian Koloko,C,TOR
197.39999999999998,210.8,0.48150000000000004,22.5,58.5,0.1925,165.60000000000002,265.6,0.4984,0.3636,92.39999999999999,143.20000000000002,48.0,234.4,282.40000000000003,28.400000000000002,12.0,42.400000000000006,71.2,96.80000000000001,539.6999999999999,2023,Christian Wood,C,DAL
12.8,43.5,0.2208,11.700000000000001,39.0,0.24,5.6000000000000005,10.8,0.28545000000000004,0.2355,8.0,11.55,9.450000000000001,27.5,38.0,10.4,7.699999999999999,4.95,6.3,22.1,68.6,2023,Chuma Okeke,SF,ORL
182.5,595.0,0.25739999999999996,101.25,261.75,0.30960000000000004,92.0,250.5,0.2295,0.2545,56.5,78.65,14.4,84.0,102.0,133.5,32.199999999999996,14.0,98.4,52.65,684.5999999999999,2023,CJ McCollum,SG,NOP
135.1,120.0,0.5787,0.0,0.3,0.0,154.4,239.20000000000002,0.516,0.3858,28.7,53.6,121.60000000000001,200.0,321.6,10.8,15.0,36.0,23.200000000000003,60.800000000000004,298.9,2023,Clint Capela,C,ATL
61.0,208.6,0.24539999999999998,51.75,143.25,0.2888,21.200000000000003,53.5,0.2475,0.2625,15.0,20.900000000000002,3.2,52.0,56.0,39.5,23.099999999999998,2.0,28.8,46.800000000000004,240.1,2023,Coby White,SG,CHI
5.6000000000000005,18.0,0.2334,1.9500000000000002,9.1,0.17120000000000002,4.4,8.8,0.275,0.2155,2.0,3.8500000000000005,3.6,8.0,12.0,4.4,2.8,0.55,1.4,8.450000000000001,24.5,2023,Cody Martin,SF,CHO
110.4,253.60000000000002,0.261,24.7,74.10000000000001,0.2664,60.0,142.1,0.2465,0.2475,65.60000000000001,69.0,6.800000000000001,73.7,83.05000000000001,108.0,16.8,8.5,36.4,55.25,297.0,2023,Cole Anthony,PG,ORL
1.2000000000000002,4.5,0.1998,1.9500000000000002,5.2,0.30000000000000004,0.0,0.4,0.0,0.25,0.0,0.0,0.45,3.0,3.5,1.6,0.0,0.0,0.0,1.9500000000000002,6.3,2023,Cole Swider,SF,LAL
95.5,268.09999999999997,0.2994,30.75,73.5,0.33440000000000003,60.0,142.5,0.263,0.276,68.0,90.2,12.8,27.5,43.5,53.5,16.099999999999998,2.0,54.400000000000006,60.45,391.29999999999995,2023,Collin Sexton,SG,UTA
55.6,146.0,0.28559999999999997,51.35,122.2,0.336,24.0,41.6,0.31735,0.3055,23.5,30.250000000000004,8.55,49.5,59.0,23.6,18.2,2.75,23.099999999999998,37.7,282.79999999999995,2023,Corey Kispert,SF,WAS
48.0,124.0,0.2322,13.65,44.2,0.2472,23.4,60.9,0.224,0.2275,20.8,25.5,4.0,20.900000000000002,26.400000000000002,93.60000000000001,12.0,1.5,17.5,33.800000000000004,125.25,2023,Cory Joseph,PG,DET
246.4,534.4,0.2766,84.5,219.05,0.3088,106.8,231.7,0.269,0.279,108.0,118.5,10.4,68.2,82.5,250.4,44.800000000000004,10.0,94.5,70.2,660.75,2023,D'Angelo Russell,PG,MIN
32.800000000000004,93.60000000000001,0.21,17.55,51.35,0.2736,8.4,26.599999999999998,0.184,0.233,16.0,21.75,4.4,24.200000000000003,30.250000000000004,72.0,20.0,1.5,37.099999999999994,22.1,96.75,2023,Daishen Nix,PG,HOU
35.2,83.2,0.25379999999999997,8.450000000000001,27.95,0.2416,18.599999999999998,42.699999999999996,0.254,0.243,11.200000000000001,12.75,3.6,12.65,17.6,20.8,9.600000000000001,6.0,9.1,15.600000000000001,86.25,2023,Dalano Banton,PG,TOR
3.0,11.2,0.22499999999999998,0.75,3.0,0.2,2.0,6.0,0.2085,0.203,1.5,2.2,0.4,2.5,3.0,3.5,0.7,1.0,3.2,2.6,11.2,2023,Dalen Terry,SG,CHI
14.0,14.8,0.48690000000000005,0.0,0.8999999999999999,0.0,16.0,27.200000000000003,0.4704,0.3246,10.5,16.0,14.4,29.6,44.0,1.6,1.7999999999999998,9.600000000000001,7.2,13.600000000000001,38.5,2023,Damian Jones,C,LAL
280.8,606.4,0.2778,101.4,273.0,0.2968,117.0,236.6,0.2885,0.283,238.4,246.75,8.8,70.4,82.5,221.60000000000002,26.400000000000002,6.0,83.3,48.75,867.0,2023,Damian Lillard,PG,POR
77.0,235.89999999999998,0.2742,68.25,144.75,0.3776,25.200000000000003,72.0,0.219,0.296,37.0,45.1,10.4,73.0,86.0,38.0,15.399999999999999,2.5,47.2,54.6,331.09999999999997,2023,Damion Lee,SG,PHO
112.69999999999999,86.80000000000001,0.6678000000000001,0.0,0.0,0.0,128.8,173.60000000000002,0.5936,0.4452,51.8,94.4,77.60000000000001,119.2,196.8,14.8,10.2,48.0,35.2,86.4,277.2,2023,Daniel Gafford,C,WAS
22.0,58.0,0.2844,15.600000000000001,44.85,0.2784,12.4,18.8,0.36300000000000004,0.289,13.5,19.8,3.15,28.0,31.5,10.0,4.199999999999999,3.8500000000000005,11.2,27.3,112.69999999999999,2023,Danuel House Jr.,SF,PHI
38.4,74.0,0.324,11.5,29.5,0.2535,24.599999999999998,53.4,0.29965,0.255,16.5,24.0,21.0,55.9,78.65,19.200000000000003,7.199999999999999,2.6,24.0,42.0,128.79999999999998,2023,Dario Šarić,PF,PHO
39.6,75.0,0.33,7.5,20.5,0.2379,30.599999999999998,65.39999999999999,0.3042,0.245,17.5,37.8,14.399999999999999,56.550000000000004,72.15,12.4,10.2,18.85,15.75,23.099999999999998,127.39999999999999,2023,Darius Bazley,PF,OKC
262.40000000000003,580.0,0.2712,70.85000000000001,177.45000000000002,0.31920000000000004,131.4,316.4,0.2425,0.264,153.60000000000002,165.75,8.0,57.2,68.2,285.6,46.400000000000006,2.5,89.6,57.85,717.75,2023,Darius Garland,PG,CLE
9.5,30.099999999999998,0.2652,0.0,4.5,0.0,7.6000000000000005,18.5,0.257,0.221,2.0,4.4,2.4000000000000004,4.5,7.5,6.0,3.5,0.5,10.4,14.950000000000001,29.4,2023,David Duke Jr.,SG,BRK
62.4,126.5,0.30824999999999997,18.5,65.0,0.18525,40.199999999999996,73.8,0.35425000000000006,0.242,13.5,27.0,16.2,57.85,75.4,11.600000000000001,12.0,7.800000000000001,29.25,45.5,190.39999999999998,2023,David Roddy,PF,MEM
91.2,197.60000000000002,0.2772,24.7,72.8,0.27120000000000005,45.6,94.5,0.2815,0.269,12.0,15.0,4.0,33.0,38.5,81.60000000000001,20.0,5.5,29.4,45.5,210.75,2023,Davion Mitchell,PG,SAC
